epoch,train_loss,val_loss,train_mae,train_rmse,val_mae,val_rmse,val_monitor_score,lr,train_euc_mean,val_euc_mean,train_rmse_3d,val_rmse_3d,train_dim0_mae,train_dim0_rmse,train_dim0_bias,train_dim1_mae,train_dim1_rmse,train_dim1_bias,train_dim2_mae,train_dim2_rmse,train_dim2_bias,val_dim0_mae,val_dim0_rmse,val_dim0_bias,val_dim1_mae,val_dim1_rmse,val_dim1_bias,val_dim2_mae,val_dim2_rmse,val_dim2_bias
1,0.5709753449146564,0.5260151997208595,146.45338439941406,184.1506580052051,143.21560668945312,180.25357030964742,298.01483459472655,0.0008,297.84783935546875,291.68499755859375,318.9582824707031,312.2083740234375,228.6312255859375,267.2026672363281,-6.349541187286377,104.09392547607422,122.21966552734375,4.650310516357422,106.63501739501953,124.09464263916016,-2.946847438812256,227.7533416748047,264.8965759277344,-80.55624389648438,99.4823226928711,114.45188903808594,-18.763578414916992,102.41117858886719,119.18327331542969,-16.571048736572266
2,0.5046254694461823,0.5333242043852806,135.01559448242188,168.10882240939944,143.7658233642578,191.9079674446843,319.1762756347656,0.0008,271.8487243652344,296.9132385253906,291.1730041503906,332.39434814453125,203.43035888671875,239.6739959716797,-2.0302135944366455,99.74099731445312,116.08598327636719,-1.8534600734710693,101.87544250488281,117.73760986328125,4.177464485168457,230.40310668945312,288.3341064453125,-180.24624633789062,97.90264892578125,113.22380065917969,7.191553115844727,102.99176025390625,120.53968048095703,-26.934648513793945
3,0.47267820284916806,0.5149026736617088,126.3700180053711,161.13380624693565,137.11581420898438,180.33497476917782,298.5084533691406,0.0008,254.8154296875,281.0909423828125,279.0918884277344,312.34930419921875,178.2402801513672,225.4841766357422,-4.965141773223877,99.88633728027344,115.58763885498047,-1.4129385948181152,100.9833984375,116.99861145019531,-5.540710926055908,212.1881103515625,266.213134765625,-130.62876892089844,97.66708374023438,112.75033569335938,-1.7972086668014526,101.49235534667969,118.23712921142578,-0.7578948736190796
4,0.4565253028502831,0.4628158509731293,123.0874252319336,156.45870436596041,126.06208038330078,160.58425431646467,262.2531555175781,0.0008,247.39312744140625,253.57839965820312,270.9944763183594,278.14013671875,171.13833618164062,216.28392028808594,-12.544189453125,99.39836120605469,114.99588775634766,5.0729756355285645,98.7256088256836,115.91035461425781,-2.241835832595825,180.6833953857422,225.18353271484375,-28.686391830444336,97.90550994873047,112.84858703613281,-4.028913974761963,99.59738159179688,117.9809799194336,7.35452127456665
5,0.4398181186272548,0.4776844382286072,118.95667266845703,150.77635030899242,129.9346160888672,170.1273707127251,279.942626953125,0.0008,238.5049591064453,264.27435302734375,261.15228271484375,294.66925048828125,160.61953735351562,204.9395751953125,-2.5095551013946533,98.75424194335938,114.44871520996094,-6.9887309074401855,97.496337890625,114.46300506591797,-3.7026212215423584,192.20669555664062,245.58050537109375,-117.13923645019531,98.442138671875,113.71804809570312,12.790566444396973,99.15507507324219,116.56925964355469,8.189823150634766
6,0.4287718396920424,0.45141851156949997,115.92823028564453,147.30138905913276,120.97782135009766,156.10207998293936,254.19023284912106,0.0008,232.4483184814453,242.7921142578125,255.13351440429688,270.37677001953125,151.05859375,197.00909423828125,-16.67751121520996,99.5691146850586,115.4832992553711,10.300429344177246,97.15693664550781,113.77229309082031,5.326791286468506,166.1210174560547,216.42164611816406,-52.29705047607422,96.86188507080078,111.80897521972656,-10.433538436889648,99.95050811767578,117.32011413574219,-11.08346939086914
7,0.413692648594196,0.4970865324139595,112.86100006103516,143.4117760157791,127.2806625366211,160.88942850021252,261.2152389526367,0.0008,226.32081604003906,257.061279296875,248.39651489257812,278.668701171875,145.26466369628906,189.84059143066406,0.5135717988014221,96.65025329589844,112.58177947998047,4.233868598937988,96.66813659667969,113.95930480957031,-5.784152984619141,180.0,220.49049377441406,90.86408233642578,101.30056762695312,121.6513900756836,-44.640724182128906,100.5414047241211,119.33616638183594,-3.8165836334228516
8,0.401835384277197,0.45407649129629135,110.4365234375,142.20162704545612,119.7879409790039,155.76504742720687,253.06076660156248,0.0008,222.06919860839844,242.6524200439453,246.30044555664062,269.7929992675781,144.7620086669922,189.4624481201172,-5.413036346435547,91.86666107177734,109.12866973876953,-1.6403796672821045,94.6810531616211,113.39673614501953,-3.2516956329345703,164.19894409179688,214.01889038085938,-53.715850830078125,94.7944564819336,113.03285217285156,0.14431029558181763,100.37042999267578,119.1962890625,21.440568923950195
9,0.38835206627845764,0.43291454017162323,109.42191314697266,140.0511625264139,118.38990020751953,151.32546541932393,245.84295959472655,0.0008,219.6691436767578,238.15899658203125,242.57571411132812,262.1033935546875,145.23846435546875,187.459228515625,-7.231279373168945,88.65441131591797,105.69569396972656,0.3388981521129608,94.37300109863281,111.93941497802734,-2.3640453815460205,165.71253967285156,207.90194702148438,-36.70663833618164,89.65021514892578,108.26030731201172,15.433592796325684,99.80679321289062,117.28032684326172,4.489589691162109
10,0.3911450986678784,0.5153108760714531,108.84749603271484,138.5190152221889,132.98573303222656,180.51785857810577,298.9846740722656,0.0008,217.3909149169922,275.3785400390625,239.92196655273438,312.66607666015625,141.89877319335938,183.14952087402344,6.621913909912109,89.50066375732422,106.4423599243164,0.05692749097943306,95.14295196533203,112.64468383789062,-6.153570652008057,204.1678924560547,267.0614013671875,-153.54571533203125,91.9222640991211,108.66608428955078,-14.49206829071045,102.86707305908203,120.95442199707031,32.8068962097168
11,0.3822372326484093,0.4409317225217819,106.62769317626953,137.53668544701083,116.2926254272461,148.40568738048754,239.49207000732423,0.0008,213.77703857421875,233.8884735107422,238.2205047607422,257.04620361328125,139.5693817138672,183.22781372070312,-4.902575492858887,87.55904388427734,104.52423858642578,3.6162216663360596,92.7547836303711,110.6854248046875,3.4775402545928955,157.29891967773438,198.5324249267578,-11.343143463134766,93.3356704711914,113.50696563720703,14.96060562133789,98.2432632446289,117.36180877685547,-2.7270190715789795
