epoch,train_loss,val_loss,train_mae,train_rmse,val_mae,val_rmse,val_monitor_score,lr,train_euc_mean,val_euc_mean,train_rmse_3d,val_rmse_3d,train_dim0_mae,train_dim0_rmse,train_dim0_bias,train_dim1_mae,train_dim1_rmse,train_dim1_bias,train_dim2_mae,train_dim2_rmse,train_dim2_bias,val_dim0_mae,val_dim0_rmse,val_dim0_bias,val_dim1_mae,val_dim1_rmse,val_dim1_bias,val_dim2_mae,val_dim2_rmse,val_dim2_bias
15,0.36040935748153263,0.37521399185061455,104.22137451171875,137.87850601843277,105.79732513427734,136.6607126815348,220.36551513671876,0.0003,211.27264404296875,213.08114624023438,238.8125457763672,236.70333862304688,146.3171844482422,190.76806640625,-5.301345348358154,80.63786315917969,99.18241119384766,0.1630161851644516,85.7090835571289,103.93179321289062,-0.3514596223831177,139.39781188964844,182.24392700195312,-18.559024810791016,90.12653350830078,107.31745147705078,-30.20093536376953,87.86763763427734,106.2947998046875,-6.421437740325928
16,0.35103194581137764,0.3683907501399517,103.10579681396484,134.27633732577382,104.81795501708984,135.87407284642276,219.286408996582,0.0003,207.82620239257812,211.57249450683594,232.5734405517578,235.34078979492188,143.45106506347656,183.70249938964844,0.0005488804308697581,80.3712158203125,98.87586212158203,1.061308741569519,85.4952163696289,102.79765319824219,-0.6856118440628052,140.1701202392578,181.82618713378906,-4.9417805671691895,86.06108093261719,104.40291595458984,-14.836254119873047,88.22268676757812,106.88568878173828,-7.907198429107666
17,0.34490516119533116,0.3777105361223221,101.82434844970703,133.19561654057915,106.1429214477539,137.4549073787473,221.49954528808593,0.0003,205.50181579589844,214.07699584960938,230.70152282714844,238.0789031982422,139.62673950195312,181.75381469726562,1.558389663696289,80.36565399169922,98.60619354248047,-0.19814452528953552,85.48065185546875,102.30133056640625,0.3925570845603943,140.15423583984375,182.8143768310547,-11.115314483642578,90.32672882080078,108.58204650878906,-30.28321075439453,87.94782257080078,107.0999984741211,-5.423262119293213
18,0.3355320692062378,0.3703774996101856,99.65641021728516,132.2088118162893,104.3331527709961,136.61621512241877,220.35865936279296,0.0003,201.9064178466797,211.77772521972656,228.99237060546875,236.626220703125,136.60218811035156,181.08909606933594,-7.361326217651367,78.21211242675781,96.6231689453125,-2.2429301738739014,84.15489959716797,101.52932739257812,0.2932891845703125,138.1178436279297,182.40101623535156,19.208736419677734,86.48859405517578,105.47874450683594,-16.002901077270508,88.3929672241211,107.68502807617188,2.026606559753418
19,0.3462834722465939,0.37070276215672493,101.2098388671875,134.71083759529148,104.74552154541016,136.58177066550647,220.3851516723633,0.0003,204.6405487060547,211.9280548095703,233.32603454589844,236.56654357910156,139.587890625,185.25711059570312,-13.25467300415039,79.65897369384766,98.89033508300781,-0.00275442935526371,84.38267517089844,101.693359375,-1.7279763221740723,139.67213439941406,182.62857055664062,37.591590881347656,85.74604034423828,104.2373275756836,-19.1513614654541,88.81844329833984,108.3748779296875,16.966169357299805
20,0.3436176015271081,0.377203069627285,101.25438690185547,134.04247373733818,106.6958236694336,140.24875361522825,227.64643554687498,0.0003,205.8711700439453,216.53582763671875,232.16836547851562,242.91795349121094,140.5588836669922,183.9548797607422,5.679383277893066,78.04623413085938,97.21886444091797,4.902492523193359,85.1579360961914,103.01090240478516,2.487086772918701,147.35501098632812,192.0128936767578,57.98751449584961,85.00479888916016,103.71978759765625,-12.494174003601074,87.72762298583984,106.68830108642578,-0.8972598314285278
21,0.3424887392255995,0.38421183079481125,100.0776596069336,131.66413829323457,108.67020416259766,144.6715906480087,236.07740936279296,0.00015,201.21127319335938,221.77781677246094,228.0489959716797,250.57855224609375,136.112060546875,178.59274291992188,-5.7467265129089355,78.36997985839844,97.2342529296875,1.1608184576034546,85.75093841552734,103.23023986816406,-5.146883010864258,156.12249755859375,202.2414093017578,84.79658508300781,82.43439483642578,102.98605346679688,4.319041728973389,87.4537124633789,106.21622467041016,-3.952893018722534
22,0.33450089395046234,0.3849583566188812,98.76648712158203,130.0367511153097,107.59325408935547,139.54077165160368,224.98385620117188,0.00015,200.25889587402344,217.5452117919922,225.23028564453125,241.69168090820312,134.79554748535156,175.79808044433594,-2.9652583599090576,77.28202056884766,96.72064971923828,-3.3082776069641113,84.2218017578125,102.31729888916016,8.751045227050781,143.07936096191406,185.99893188476562,44.9959831237793,90.07069396972656,108.93402099609375,-31.698835372924805,89.62970733642578,109.328125,-21.304555892944336
23,0.3333793895112144,0.3797336108982563,99.06851959228516,130.18435695917924,106.54232788085938,138.45773695202084,223.31924133300782,0.00015,200.1864471435547,215.4318084716797,225.4859161376953,239.81582641601562,135.1154022216797,176.7430877685547,-0.5427882671356201,78.41912841796875,96.18114471435547,4.464878082275391,83.67103576660156,101.75935363769531,-0.6168230175971985,141.2145233154297,184.82720947265625,37.40056228637695,89.30641174316406,107.97311401367188,-29.314542770385742,89.1061019897461,108.1311264038086,-10.09503173828125
24,0.32939500610033673,0.369938462972641,97.99481201171875,129.71060035228425,104.76776123046875,137.98423256843515,223.0480529785156,0.00015,197.7804718017578,213.10630798339844,224.66526794433594,238.99569702148438,132.5946502685547,175.783935546875,-12.622017860412598,77.4854736328125,95.9967269897461,-6.581275463104248,83.90426635742188,101.7797622680664,-3.2206273078918457,141.44166564941406,185.83688354492188,40.10074996948242,84.0872573852539,104.35088348388672,-8.2152681350708,88.77442169189453,108.14109802246094,-6.49577522277832
25,0.32286302083068424,0.3772278502583504,96.70880126953125,127.55270050551654,105.90013885498047,138.84696780538638,224.22804870605466,0.00015,195.84873962402344,214.7635040283203,220.92774963378906,240.49002075195312,130.311279296875,171.65623474121094,2.883206605911255,76.68878936767578,95.59535217285156,-0.34501779079437256,83.12631225585938,101.01849365234375,6.161066055297852,140.93438720703125,186.283447265625,39.87145233154297,87.78097534179688,106.6928482055664,-25.151288986206055,88.9851303100586,108.4000015258789,-8.384716033935547
26,0.31597673892974854,0.3826049230992794,95.97014617919922,126.4458297120253,106.68270111083984,140.11693637592495,226.28353424072264,7.5e-05,193.5631561279297,216.7399444580078,219.01058959960938,242.6896514892578,129.0367431640625,170.03829956054688,-6.479742527008057,76.95845031738281,95.77229309082031,6.695732116699219,81.91512298583984,99.39960479736328,-2.094372034072876,142.1090545654297,188.00259399414062,41.419795989990234,88.92815399169922,108.54771423339844,-29.28143310546875,89.010986328125,108.49275970458984,-4.044835090637207
27,0.32584897263182533,0.3724037781357765,96.04642486572266,128.2762750253335,104.46092987060547,138.0716172295197,222.8214599609375,7.5e-05,194.33583068847656,212.85400390625,222.18101501464844,239.14707946777344,130.1985626220703,174.32725524902344,1.1910518407821655,75.43199920654297,94.09416961669922,-2.1758458614349365,82.50880432128906,100.60169982910156,6.324423789978027,138.57366943359375,184.7283477783203,20.19355010986328,85.30860900878906,105.63005065917969,-15.95278549194336,89.50051879882812,109.12860107421875,-7.959771633148193
28,0.3303922265768051,0.37918082997202873,97.9531021118164,128.38848669419312,105.86490631103516,138.56584767043068,223.24531402587888,7.5e-05,196.76339721679688,214.66522216796875,222.3753662109375,240.00306701660156,132.0994110107422,173.2355194091797,-0.24798829853534698,77.33872985839844,95.79043579101562,0.44793352484703064,84.42123413085938,101.31363677978516,-3.4411888122558594,139.12210083007812,184.14389038085938,35.117733001708984,89.24122619628906,109.11705017089844,-30.922550201416016,89.2313461303711,108.5632095336914,-10.744648933410645
29,0.3181928288605478,0.3685845471918583,95.7752685546875,126.8987200733325,104.13597869873047,137.48842991093832,222.10181884765623,7.5e-05,193.03823852539062,211.8748321533203,219.79502868652344,238.13693237304688,130.03106689453125,170.84588623046875,-0.4732168912887573,75.12890625,94.88016510009766,-6.452909469604492,82.16576385498047,100.59468841552734,2.396193265914917,138.9424591064453,184.68655395507812,35.44356918334961,84.44831085205078,104.5362777709961,-12.57223892211914,89.01708984375,108.03817749023438,-2.4903452396392822
30,0.31566934370332295,0.37962350621819496,95.35187530517578,125.37058737872891,106.31897735595703,139.47726069148334,225.13211975097653,7.5e-05,192.63584899902344,215.53616333007812,217.14825439453125,241.5817108154297,127.32295989990234,167.3585968017578,1.2044429779052734,76.42536926269531,94.48289489746094,5.203322887420654,82.30733489990234,101.08137512207031,0.9973903298377991,141.69769287109375,186.74974060058594,44.94910430908203,88.1952133178711,108.32815551757812,-28.915128707885742,89.06401824951172,108.40324401855469,-11.203723907470703
